durs,offset,Aduty,Adur,Bdur,A_numits,B_numits
49.29,0,1.0,49.289999999999999,0.0,4,1
49.69110083027466,49.29,0.97339820004742184,48.3692281065643,1.3218727237103571,4,1
54.097550665959076,98.98110083027466,0.92475874744705611,50.027183193805975,4.0703674721531051,4,2
69.98270779877501,153.07865149623373,0.86177299272805397,60.309207538963264,9.6735002598117479,3,2
101.86770953636527,223.06135929500874,0.78718560037937502,80.188794090655477,21.678915445709787,4,3
102.3956193860111,324.929068831374,0.70258283491092333,71.941404550683586,30.454214835327527,5,2
28.012917095408582,427.32468821738513,0.92000000000000004,25.771883727775897,2.2410333676326855,3,1
23.698366928873057,455.3376053127937,0.88166106856273629,20.893927509702031,2.8044394191710262,4,1
23.25396929388816,479.03597224166674,0.72078506852827828,16.761113851049657,6.4928554428385041,2,4
23.25,502.28994153555493,0.81156112638905864,18.868796188545613,4.3812038114543865,3,2
23.818027990547943,525.5399415355549,0.58651272314767955,13.969576456743928,9.8484515338040151,2,4
25.76876648707999,549.3579695261029,0.61328854850188974,15.803689395545428,9.9650770915345621,3,3
29.443647083650134,575.126736013183,0.50574056254625366,14.89084663949858,14.552800444151554,4,5
35.632858362068006,604.5703830968331,0.22785820032379916,8.1192389787736534,27.513619383294351,4,4
45.962010649027704,640.2032414589011,0.087037037037037052,4.0003972231561153,41.96161342587159,2,5
63.876721296192194,686.1652521079287,0.050000000000000003,3.1938360648096098,60.682885231382585,2,5
